Computed_Block_Hash,Previous_Block_Hash,Next_Block_Hash,Merkle_Root,Timestamp,Nonce,BlockReward,Transaction_Hash,Input_Addresses,Transaction_Hash_of_Inputs,Input_Amount,Output_Addresses,Output_Amount
00000000fd01351b7f07599e682c570bcf3f369249084e43a2603da1e6aefe77,00000000317b4bb991241794ad06039987459a82d7ca05b2da9282e93b475f3b,00000000ab798ba558d898672adf688356cd75fde67f5a02342b196ba915fcc3,4c8a1abd463899b9b58c34bf5ca7f08f00a9e41a3b981135fc0a05f9841d8dec,01/25/2009 12:51:08,3636280373,50.000000,4c8a1abd463899b9b58c34bf5ca7f08f00a9e41a3b981135fc0a05f9841d8dec,,0000000000000000000000000000000000000000000000000000000000000000 ,,1DapY42Js4sqNAMNCBfzKAkM7ZY224eU8d ,50.000000 
00000000ab798ba558d898672adf688356cd75fde67f5a02342b196ba915fcc3,00000000fd01351b7f07599e682c570bcf3f369249084e43a2603da1e6aefe77,0000000026c7079d0d3839cc1071227ae16a55ee2c52a2360bdd39c0774f0ee0,577d06c9b92ec1e196e65a0189b2ab9e383e616360bacd2a3e23ab8652f6a189,01/25/2009 12:54:52,61615658,50.000000,577d06c9b92ec1e196e65a0189b2ab9e383e616360bacd2a3e23ab8652f6a189,,0000000000000000000000000000000000000000000000000000000000000000 ,,1a9WfgU5BC3E6EiZZwuh94fNkD3cnDLzU ,50.000000 
0000000026c7079d0d3839cc1071227ae16a55ee2c52a2360bdd39c0774f0ee0,00000000ab798ba558d898672adf688356cd75fde67f5a02342b196ba915fcc3,000000003fe5373a8e99ba134df067f55f44cfdd29904fb71b6d86f69c209a0a,b9dda9b54e397403adac04d6a3185d9cac8e3dbb4185dda3346b0c9913b1a73f,01/25/2009 12:59:35,2408049954,50.000000,b9dda9b54e397403adac04d6a3185d9cac8e3dbb4185dda3346b0c9913b1a73f,,0000000000000000000000000000000000000000000000000000000000000000 ,,1GQjbtwSZx6NWycLypYtM5kcNVVm5UhoCe ,50.000000 
000000003fe5373a8e99ba134df067f55f44cfdd29904fb71b6d86f69c209a0a,0000000026c7079d0d3839cc1071227ae16a55ee2c52a2360bdd39c0774f0ee0,0000000030953d7744f4906c21c1ff46cf0913593319e0b0e42e07b11bffcb31,4fb56620cf252e380eb2d648ae039d1250fde57bf9b5c13806366473b4f3029b,01/25/2009 13:11:54,3372832040,50.000000,4fb56620cf252e380eb2d648ae039d1250fde57bf9b5c13806366473b4f3029b,,0000000000000000000000000000000000000000000000000000000000000000 ,,1M13PrtZuTRUUvsz12qnvrmjWmoXTHDfYa ,50.000000 
0000000030953d7744f4906c21c1ff46cf0913593319e0b0e42e07b11bffcb31,000000003fe5373a8e99ba134df067f55f44cfdd29904fb71b6d86f69c209a0a,00000000c8b50f874c15e4c264544fa7488e956700bfaddcc23402f3674da724,f420bd0b7ea1e2d877dd75eaa81817ba159b7f7237af6fa00f771fdf961036f7,01/25/2009 13:16:57,3683800615,50.000000,f420bd0b7ea1e2d877dd75eaa81817ba159b7f7237af6fa00f771fdf961036f7,,0000000000000000000000000000000000000000000000000000000000000000 ,,12zu2MSTfRL6ALy9YJdxZ9DToBwQxTaWhy ,50.000000 
00000000c8b50f874c15e4c264544fa7488e956700bfaddcc23402f3674da724,0000000030953d7744f4906c21c1ff46cf0913593319e0b0e42e07b11bffcb31,0000000019e19aadf5f1ccc33809e8c779c32703f28e61200b7a6328d05950b1,85b79274d5bc2a22d1255e71af7c7e0023e051077908a0d9447b63f4f32be55d,01/25/2009 13:21:46,2981142299,50.000000,85b79274d5bc2a22d1255e71af7c7e0023e051077908a0d9447b63f4f32be55d,,0000000000000000000000000000000000000000000000000000000000000000 ,,1MguYSUKFXNGMEKdLhBqtZW1w6CJDq7JzN ,50.000000 
0000000019e19aadf5f1ccc33809e8c779c32703f28e61200b7a6328d05950b1,00000000c8b50f874c15e4c264544fa7488e956700bfaddcc23402f3674da724,00000000d326392707f91aea4c155dd4687fe459dc9016877c50b85d82049b7a,336ebcc147aab709311ad6b860db79068df3589c43582f7459a2bae0cf6606d2,01/25/2009 13:32:24,3658818094,50.000000,336ebcc147aab709311ad6b860db79068df3589c43582f7459a2bae0cf6606d2,,0000000000000000000000000000000000000000000000000000000000000000 ,,1NbrE4u6zLUqDKHG9fMaAYqvHhW1hdExAQ ,50.000000 
00000000d326392707f91aea4c155dd4687fe459dc9016877c50b85d82049b7a,0000000019e19aadf5f1ccc33809e8c779c32703f28e61200b7a6328d05950b1,0000000087bfb8261dc2f2d7b780d339455653078ce4adac50eb7cc5f4f4abd8,ba301ff5a8eaea39d6975af00dead0e931a70fdb61324db1c43df9100a1ee223,01/25/2009 13:43:13,3424117511,50.000000,ba301ff5a8eaea39d6975af00dead0e931a70fdb61324db1c43df9100a1ee223,,0000000000000000000000000000000000000000000000000000000000000000 ,,15US9FBS1ZakBs9F8LAufghBRyqAUnjfVU ,50.000000 
0000000087bfb8261dc2f2d7b780d339455653078ce4adac50eb7cc5f4f4abd8,00000000d326392707f91aea4c155dd4687fe459dc9016877c50b85d82049b7a,00000000435237ec511b7921fbacd58e6362586ee6ed114525873e156bebe671,e57ac5a1b72219c29b69452cab0c2ad83a8e2fdfc38c91fa6ce9b1c8fe2652c5,01/25/2009 13:49:26,3820812853,50.000000,e57ac5a1b72219c29b69452cab0c2ad83a8e2fdfc38c91fa6ce9b1c8fe2652c5,,0000000000000000000000000000000000000000000000000000000000000000 ,,1Hzigyre5S4Y8SXXLNF1z2iuX9CaibD5pt ,50.000000 
00000000435237ec511b7921fbacd58e6362586ee6ed114525873e156bebe671,0000000087bfb8261dc2f2d7b780d339455653078ce4adac50eb7cc5f4f4abd8,0000000009b35360c2046d14e4d5972fc1c41bc2c67f963bbb3497623c15f651,7b7393bd8778df3f51ba189a8ec140a17d6bad23a29e3772a8366b950321161e,01/25/2009 13:53:16,3603529770,50.000000,7b7393bd8778df3f51ba189a8ec140a17d6bad23a29e3772a8366b950321161e,,0000000000000000000000000000000000000000000000000000000000000000 ,,17ezoy9yKiZF9PHYJCbm3tEH9hHHaHB8VG ,50.000000 
